  ,Testcase ,Edge Applications used ,Security ,Redundancy ,Method                       ,# ES ,# Switches ,# Streams ,# Receiver Tasks ,# Tasks ,Total cost ,Routing cost ,Scheduling cost ,Normal application latency ,Infeasible Apps ,"Bandwidth use (Mean,%)" ,"CPU use (Mean,%)" ,Optimization Time (ms) ,First feasible solution time (ms) ,Total Runtime (ms) ,Infeasible apps ,Overlapping number ,Stream with overlap ,Avg. maximum unattested time ,Avg. maximum unattested time % ,Avg. time spent attesting ,Avg. time spent attesting % ,Avg. worst case response time ,Avg. avg response time ,Avg. avg response time % ,Avg. edge app latency ,Tstart ,alpha ,Prmv ,k ,a     ,b      ,w
0 ,TC1      ,                       ,False    ,False      ,CP_ROUTING_CP_SCHEDULING_EXT ,   4 ,         2 ,        3 ,               3 ,     10 ,     36963 ,        5015 ,          31948 ,                       215 ,                ,    0.0125               ,1.175              ,                   201 ,                                0 ,               445 ,0/7             ,                 0 ,                  0 ,                       26.00 ,                          0.01 ,                  3937.00 ,                       0.98 ,                        46.50 ,                  0.29 ,                    0.00 ,-1.00                 ,    10 ,0.999 , 0.8 ,5 ,50000 ,100000 ,10
0 ,TC2      ,                       ,False    ,False      ,CP_ROUTING_CP_SCHEDULING_EXT ,   4 ,         2 ,        8 ,               8 ,     22 ,     71982 ,       16047 ,          55935 ,                       511 ,                ,    0.060000000000000005 ,3.175              ,                  1115 ,                                0 ,              1223 ,0/14            ,                 0 ,                  0 ,                       92.00 ,                          0.02 ,                  3878.00 ,                       0.97 ,                        73.00 ,                  0.85 ,                    0.00 ,-1.00                 ,    10 ,0.999 , 0.8 ,5 ,50000 ,100000 ,10
0 ,TC3      ,                       ,False    ,False      ,CP_ROUTING_CP_SCHEDULING_EXT ,   4 ,         2 ,       16 ,              16 ,     40 ,    176674 ,       37054 ,         139620 ,                      5511 ,                ,    0.15                 ,4.675              ,                 43856 ,                                0 ,             43977 ,0/24            ,                 0 ,                  0 ,                      156.00 ,                          0.04 ,                  3772.00 ,                       0.94 ,                        75.00 ,                  1.39 ,                    0.00 ,-1.00                 ,    10 ,0.999 , 0.8 ,5 ,50000 ,100000 ,10
0 ,TC4      ,                       ,False    ,False      ,CP_ROUTING_CP_SCHEDULING_EXT ,   8 ,         4 ,        8 ,               8 ,     22 ,     83919 ,       16022 ,          67897 ,                      8021 ,                ,    0.018750000000000003 ,1.0562500000000001 ,                  1103 ,                                0 ,              1288 ,0/14            ,                 0 ,                  0 ,                       14.50 ,                          0.00 ,                  3978.00 ,                       0.99 ,                        52.25 ,                  0.44 ,                    0.00 ,-1.00                 ,    10 ,0.999 , 0.8 ,5 ,50000 ,100000 ,10
0 ,TC5      ,                       ,False    ,False      ,CP_ROUTING_CP_SCHEDULING_EXT ,   8 ,         4 ,       16 ,              16 ,     40 ,    164000 ,       48036 ,         115964 ,                     18667 ,                ,    0.0625               ,2.521875           ,                  8345 ,                                0 ,              8506 ,0/24            ,                 0 ,                  0 ,                       66.50 ,                          0.02 ,                  3933.50 ,                       0.98 ,                        63.00 ,                  0.71 ,                    0.00 ,-1.00                 ,    10 ,0.999 , 0.8 ,5 ,50000 ,100000 ,10
0 ,TC6      ,                       ,False    ,False      ,CP_ROUTING_CP_SCHEDULING_EXT ,   8 ,         4 ,       32 ,              32 ,     76 ,    307908 ,       85074 ,         222834 ,                     17086 ,                ,    0.13333333333333336  ,5.437499999999999  ,                 78264 ,                                0 ,             78437 ,0/44            ,                 0 ,                  0 ,                       76.00 ,                          0.02 ,                  3756.00 ,                       0.94 ,                       113.75 ,                  3.00 ,                    0.00 ,-1.00                 ,    10 ,0.999 , 0.8 ,5 ,50000 ,100000 ,10
0 ,TC7      ,                       ,False    ,False      ,CP_ROUTING_CP_SCHEDULING_EXT ,  16 ,         8 ,       16 ,              16 ,     40 ,    179819 ,       60032 ,         119787 ,                      8811 ,                ,    0.049519230769230795 ,1.1562500000000004 ,                 10169 ,                                0 ,             10312 ,0/24            ,                 0 ,                  0 ,                       23.75 ,                          0.01 ,                  3961.00 ,                       0.99 ,                        34.88 ,                  0.30 ,                    0.00 ,-1.00                 ,    10 ,0.999 , 0.8 ,5 ,50000 ,100000 ,10
0 ,TC8      ,                       ,False    ,False      ,CP_ROUTING_CP_SCHEDULING_EXT ,  16 ,         8 ,       32 ,              32 ,     76 ,    349107 ,      122038 ,         227069 ,                     19391 ,                ,    0.08221153846153852  ,2.3359375          ,               3643822 ,                                0 ,           3644165 ,0/44            ,                 0 ,                  0 ,                       50.50 ,                          0.01 ,                  3902.50 ,                       0.98 ,                        58.00 ,                  0.71 ,                    0.00 ,-1.00                 ,    10 ,0.999 , 0.8 ,5 ,50000 ,100000 ,10
0 ,TC9      ,                       ,False    ,False      ,CP_ROUTING_CP_SCHEDULING_EXT ,  16 ,         8 ,       48 ,              48 ,    112 ,    496606 ,      166073 ,         330533 ,                     45206 ,                ,    0.11394230769230776  ,3.496875           ,               4095353 ,                                0 ,           4095599 ,0/64            ,                 0 ,                  0 ,                       61.25 ,                          0.02 ,                  3883.50 ,                       0.97 ,                        83.75 ,                  1.40 ,                    0.00 ,-1.00                 ,    10 ,0.999 , 0.8 ,5 ,50000 ,100000 ,10
0 ,TC10     ,                       ,False    ,False      ,CP_ROUTING_CP_SCHEDULING_EXT ,  32 ,        16 ,       48 ,              48 ,    128 ,    622430 ,      245041 ,         377389 ,                     58587 ,                ,    0.08727678571428577  ,1.8601562499999997 ,               3748491 ,                                0 ,           3748685 ,0/80            ,                 0 ,                  0 ,                       45.62 ,                          0.01 ,                  3929.75 ,                       0.98 ,                        48.12 ,                  0.51 ,                    0.00 ,-1.00                 ,    10 ,0.999 , 0.8 ,5 ,50000 ,100000 ,10
0 ,TC11     ,                       ,False    ,False      ,CP_ROUTING_CP_SCHEDULING_EXT ,  32 ,        16 ,       80 ,              80 ,    208 ,   1034161 ,      444070 ,         590091 ,                     73008 ,                ,    0.14352678571428581  ,3.3679687500000006 ,               5398811 ,                                0 ,           5399018 ,0/128           ,                 0 ,                  0 ,                       84.12 ,                          0.02 ,                  3853.50 ,                       0.96 ,                        53.94 ,                  0.71 ,                    0.00 ,-1.00                 ,    10 ,0.999 , 0.8 ,5 ,50000 ,100000 ,10
